[paso 00051] tick=00051 serv=4/50 cov=8.0% energia_prom=597.5 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00052] tick=00052 serv=4/50 cov=8.0% energia_prom=596.2 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00053] tick=00053 serv=4/50 cov=8.0% energia_prom=595.1 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00054] tick=00054 serv=4/50 cov=8.0% energia_prom=594.0 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00055] tick=00055 serv=4/50 cov=8.0% energia_prom=592.6 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00056] tick=00056 serv=4/50 cov=8.0% energia_prom=591.3 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00057] tick=00057 serv=4/50 cov=8.0% energia_prom=590.2 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00058] tick=00058 serv=4/50 cov=8.0% energia_prom=589.1 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00059] tick=00059 serv=4/50 cov=8.0% energia_prom=587.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00060] tick=00060 serv=4/50 cov=8.0% energia_prom=586.5 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00061] tick=00061 serv=4/50 cov=8.0% energia_prom=585.4 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00062] tick=00062 serv=4/50 cov=8.0% energia_prom=584.3 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00063] tick=00063 serv=4/50 cov=8.0% energia_prom=583.0 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00064] tick=00064 serv=4/50 cov=8.0% energia_prom=581.7 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00065] tick=00065 serv=4/50 cov=8.0% energia_prom=580.6 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00066] tick=00066 serv=4/50 cov=8.0% energia_prom=579.5 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00067] tick=00067 serv=4/50 cov=8.0% energia_prom=578.2 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00068] tick=00068 serv=4/50 cov=8.0% energia_prom=576.9 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00069] tick=00069 serv=4/50 cov=8.0% energia_prom=575.7 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00070] tick=00070 serv=4/50 cov=8.0% energia_prom=574.6 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00071] tick=00071 serv=4/50 cov=8.0% energia_prom=573.3 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00072] tick=00072 serv=4/50 cov=8.0% energia_prom=572.0 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00073] tick=00073 serv=4/50 cov=8.0% energia_prom=570.9 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00074] tick=00074 serv=4/50 cov=8.0% energia_prom=569.8 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00075] tick=00075 serv=4/50 cov=8.0% energia_prom=568.5 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00076] tick=00076 serv=4/50 cov=8.0% energia_prom=567.2 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
[paso 00077] tick=00077 serv=4/50 cov=8.0% energia_prom=566.1 rtb=0 viol=0 serv_uav={0: 2, 1: 1, 2: 1, 3: 0} cov_uav={0: 0.04, 1: 0.02, 2: 0.02, 3: 0.0}
