episode,coverage,return,adv,phase,loss_pi,loss_v,episode_seconds,total_seconds
88,0.58000,-3.56183,-0.12652,lurigancho_fixed,0.037828,0.029479,233.805,23951.871
89,0.54000,-3.70077,-0.21557,lurigancho_fixed,0.014594,0.007221,238.061,24189.935
90,0.62000,-3.64531,-0.11139,lurigancho_fixed,0.009222,0.003365,236.541,24426.478
91,0.54000,-4.00355,-0.41937,lurigancho_fixed,-0.400869,4.014879,225.855,24652.335
92,0.66000,-3.54998,0.12630,lurigancho_fixed,-0.108954,0.451227,140.449,24792.786
93,0.48000,-3.80264,-0.26828,lurigancho_fixed,0.079405,0.232615,251.497,25044.286
94,0.66000,-3.65806,-0.02444,lurigancho_fixed,0.029273,0.016890,256.584,25300.877
95,0.58000,-3.61920,-0.03476,lurigancho_fixed,0.060297,0.019157,167.062,25467.940
96,0.54000,-3.61094,-0.09211,lurigancho_fixed,-0.247395,3.775552,243.875,25711.819
97,0.60000,-3.78445,-0.24125,lurigancho_fixed,0.091203,27.870338,260.196,25972.017
98,0.72000,-3.63938,-0.09697,lurigancho_fixed,-0.439143,23.505106,272.534,26244.553
99,0.56000,-4.15712,-0.65226,lurigancho_fixed,0.351421,17.498241,261.792,26506.348
100,0.54000,-3.87897,-0.10816,lurigancho_fixed,-0.009063,0.001095,263.467,26769.817
101,0.24000,-3.75610,0.04392,lurigancho_fixed,0.073212,0.005739,332.079,27101.899
102,0.56000,-3.87206,-0.08202,lurigancho_fixed,0.073304,0.038034,333.785,27435.686
103,0.50000,-4.27389,-0.51433,lurigancho_fixed,-0.067325,0.059574,330.259,27765.947
104,0.14000,-4.00847,-0.01193,lurigancho_fixed,-0.012493,0.003767,331.719,28097.668
105,0.14000,-3.87548,0.12682,lurigancho_fixed,0.093018,0.002093,337.619,28435.290
106,0.16000,-3.97379,-0.00910,lurigancho_fixed,0.043686,0.002131,325.886,28761.179
107,0.18000,-4.01504,-0.05246,lurigancho_fixed,0.024195,0.000276,278.598,29039.779
108,0.22000,-4.14221,-0.15923,lurigancho_fixed,0.039082,0.018658,283.673,29323.455
109,0.28000,-4.16845,-0.20913,lurigancho_fixed,0.198190,0.998144,286.793,29610.250
110,0.22000,-3.86982,0.09564,lurigancho_fixed,0.048153,0.001487,285.465,29895.717
111,0.24000,-3.82135,0.12632,lurigancho_fixed,0.002601,0.088950,286.201,30181.922
112,0.24000,-4.00983,-0.11170,lurigancho_fixed,0.049853,0.003685,286.201,30468.125
113,0.24000,-3.93398,-0.07898,lurigancho_fixed,0.057616,0.005251,233.082,30701.210
114,0.26000,-4.09090,-0.22517,lurigancho_fixed,0.610073,316.678497,296.386,30997.598
115,0.22000,-3.85470,0.02743,lurigancho_fixed,0.111069,0.620876,258.832,31256.432
116,0.26000,-3.83375,-0.01417,lurigancho_fixed,-0.403204,3.215468,291.164,31547.599
117,0.64000,-4.87857,-1.09614,lurigancho_fixed,-0.432863,61.985958,320.707,31868.310
118,0.66000,-4.39059,-0.34612,lurigancho_fixed,-0.036392,0.005320,276.717,32145.031
119,0.58000,-4.78891,-0.71225,lurigancho_fixed,0.112734,0.676520,171.592,32316.625
120,0.60000,-4.77083,-0.48802,lurigancho_fixed,-0.041880,0.043608,222.918,32539.545
121,0.44000,-4.58027,-0.18741,lurigancho_fixed,0.063549,0.279679,266.065,32805.614
122,0.56000,-5.58260,-1.28801,lurigancho_fixed,-0.039053,0.108223,254.766,33060.381
123,0.74000,-5.64271,-1.09757,lurigancho_fixed,-0.425352,14.533984,242.468,33302.853
124,0.62000,-5.08116,-0.24479,lurigancho_fixed,-0.040632,0.696682,245.341,33548.298
125,0.80000,-6.92777,-2.14280,lurigancho_fixed,-0.121315,42.044838,248.662,33796.962
126,0.70000,-5.95311,-0.90415,lurigancho_fixed,-0.035780,0.132514,236.003,34032.969
127,0.78000,-6.27007,-1.03974,lurigancho_fixed,0.362711,264.919281,245.392,34278.363
128,0.70000,-6.74408,-1.30394,lurigancho_fixed,-0.286110,2.831856,213.460,34491.826
129,0.24000,-5.50514,0.22795,lurigancho_fixed,0.618253,98.924545,254.550,34746.378
130,0.82000,-6.75998,-1.28264,lurigancho_fixed,-0.081159,0.278395,274.866,35021.247
131,0.32000,-5.98203,-0.27646,lurigancho_fixed,-0.348889,16.917696,241.250,35262.499
132,0.28000,-5.53171,0.12232,lurigancho_fixed,0.313041,26.030693,223.577,35486.078
133,0.26000,-5.08974,0.32823,lurigancho_fixed,0.059180,0.019066,221.865,35707.946
134,0.70000,-6.88914,-1.75957,lurigancho_fixed,-0.036772,0.218360,213.953,35921.900
135,0.68000,-5.76551,-0.39788,lurigancho_fixed,0.566299,237.057831,232.257,36154.160
136,0.74000,-6.21063,-0.82028,lurigancho_fixed,-0.051339,0.243970,219.466,36373.628
137,0.66000,-6.90675,-1.26797,lurigancho_fixed,-0.061842,0.339056,228.618,36602.248
138,0.30000,-5.66670,0.23867,lurigancho_fixed,0.000733,0.004605,307.005,36909.255
139,0.76000,-5.76569,-0.10894,lurigancho_fixed,0.201381,89.333412,301.993,37211.250
140,0.66000,-5.63072,-0.06781,lurigancho_fixed,-0.041691,0.021112,302.401,37513.654
141,0.42000,-5.39311,0.06016,lurigancho_fixed,0.022206,0.001970,303.203,37816.859
142,0.78000,-5.43201,-0.19914,lurigancho_fixed,-0.705620,11.553571,303.845,38120.709
143,0.78000,-5.65202,-0.49780,lurigancho_fixed,-0.030391,0.318834,303.168,38423.879
144,0.56000,-5.47435,-0.30398,lurigancho_fixed,0.014701,0.106092,303.774,38727.656
145,0.56000,-5.18132,-0.09537,lurigancho_fixed,-0.013082,0.006941,302.618,39030.276
146,0.46000,-5.06911,-0.08120,lurigancho_fixed,-0.037230,0.079485,305.265,39335.543
147,0.46000,-4.83564,-0.00164,lurigancho_fixed,-0.224817,1.410060,302.141,39637.686
148,0.56000,-4.79430,-0.09214,lurigancho_fixed,-0.004623,0.001332,305.712,39943.401
149,0.66000,-4.46567,0.14807,lurigancho_fixed,0.042351,0.028941,302.161,40245.564
150,0.44000,-4.47999,0.00338,lurigancho_fixed,-0.124705,0.713382,302.744,40548.311
151,0.70000,-4.43839,-0.05323,lurigancho_fixed,0.359807,20.202221,302.170,40850.483
