episode,coverage,return,adv,phase,loss_pi,loss_v,episode_seconds,total_seconds
172,0.62000,9.60814,0.45144,lurigancho_random,0.065085,58.375957,45.065,6905.312
173,0.80000,10.45314,1.01999,lurigancho_random,0.027147,81.515190,45.368,6950.682
174,0.84000,10.82205,1.08894,lurigancho_random,-0.030519,41.701027,45.507,6996.190
175,0.62000,10.07593,0.04575,lurigancho_random,0.090557,19.427082,44.974,7041.166
176,0.82000,10.77899,0.67661,lurigancho_random,-0.187883,56.241798,45.690,7086.858
177,0.74000,10.23067,-0.11595,lurigancho_random,-0.073644,45.029785,45.401,7132.260
178,0.70000,10.25932,0.07757,lurigancho_random,-0.022817,34.472954,45.299,7177.560
179,0.76000,10.61218,0.34630,lurigancho_random,0.143169,22.421558,44.938,7222.500
180,0.80000,10.75138,0.30471,lurigancho_random,-0.101414,65.779686,45.331,7267.832
181,0.90000,11.19404,0.58903,lurigancho_random,-0.043852,40.789455,44.566,7312.400
182,0.88000,11.76092,0.93295,lurigancho_random,-0.071620,88.423683,44.417,7356.818
183,0.88000,11.43908,0.38256,lurigancho_random,-0.086885,50.309254,45.263,7402.083
184,0.80000,11.79491,0.48251,lurigancho_random,0.006591,63.998707,45.057,7447.140
185,0.88000,11.86051,0.40533,lurigancho_random,-0.224682,43.349812,44.894,7492.036
186,0.70000,11.60923,-0.09428,lurigancho_random,0.051807,35.302910,45.537,7537.575
187,0.64000,10.94734,-0.59770,lurigancho_random,-0.089470,82.298042,45.259,7582.836
188,0.72000,11.05234,-0.23072,lurigancho_random,0.173950,13.200927,45.590,7628.427
189,0.54000,10.40917,-0.59620,lurigancho_random,-0.084793,31.589931,45.490,7673.918
190,0.64000,10.57189,-0.12871,lurigancho_random,-0.115283,45.560040,44.710,7718.630
191,0.58000,10.44531,-0.21383,lurigancho_random,0.189592,25.660500,43.759,7762.390
192,0.52000,9.73973,-0.66031,lurigancho_random,0.045239,72.566475,45.351,7807.743
193,0.66000,10.11166,-0.03470,lurigancho_random,0.124763,40.563332,45.513,7853.259
194,0.62000,10.01691,-0.07395,lurigancho_random,0.195676,18.900091,45.576,7898.837
195,0.50000,9.70422,-0.33981,lurigancho_random,0.169085,24.881174,44.802,7943.640
196,0.58000,9.84894,-0.03429,lurigancho_random,-0.120295,29.134340,45.759,7989.400
197,0.62000,10.03131,0.13597,lurigancho_random,0.034417,46.309093,45.225,8034.626
198,0.54000,9.75542,-0.22785,lurigancho_random,0.089321,22.171270,44.967,8079.595
199,0.64000,9.84978,0.06793,lurigancho_random,-0.164288,50.173950,45.205,8124.801
200,0.62000,10.02403,0.12534,lurigancho_random,0.156296,64.697884,45.549,8170.351
201,0.46000,9.08632,-0.87508,lurigancho_random,0.135065,11.691569,45.641,8215.993
202,0.62000,9.10439,-0.59318,lurigancho_random,-0.005234,36.455364,45.109,8261.104
203,0.50000,8.82835,-0.58186,lurigancho_random,-0.112720,23.433508,45.716,8306.822
204,0.48000,8.51319,-0.62311,lurigancho_random,-0.069864,51.476555,44.718,8351.542
205,0.44000,8.45145,-0.62311,lurigancho_random,-0.025348,39.365925,45.425,8396.969
206,0.44000,7.88030,-0.94292,lurigancho_random,-0.045547,24.795864,45.137,8442.107
207,0.66000,8.60247,0.06974,lurigancho_random,0.099043,29.353287,44.998,8487.107
208,0.46000,8.43304,-0.23507,lurigancho_random,-0.110949,14.661663,44.306,8531.414
209,0.48000,7.64163,-0.80967,lurigancho_random,-0.005090,26.626463,44.803,8576.218
210,0.72000,8.26636,0.11244,lurigancho_random,-0.011026,86.875420,45.340,8621.559
211,0.42000,7.31892,-0.86128,lurigancho_random,-0.000844,20.636892,43.745,8665.306
212,0.50000,8.11388,0.20442,lurigancho_random,-0.145490,48.958389,45.726,8711.033
213,0.42000,7.47066,-0.54881,lurigancho_random,-0.045866,31.776430,44.645,8755.680
214,0.46000,7.26254,-0.53892,lurigancho_random,-0.047284,28.839329,46.125,8801.806
215,0.54000,7.16776,-0.33375,lurigancho_random,-0.312877,41.642582,45.193,8847.000
216,0.50000,7.36053,0.01980,lurigancho_random,0.008370,15.688117,45.992,8892.993
217,0.54000,7.59581,0.31321,lurigancho_random,0.041496,38.578365,45.731,8938.725
218,0.58000,7.72245,0.18213,lurigancho_random,-0.038217,53.227383,45.170,8983.897
219,0.52000,7.75267,0.17373,lurigancho_random,0.121759,19.320826,35.983,9019.882
220,0.46000,6.98938,-0.69416,lurigancho_random,-0.193733,53.508411,38.742,9058.626
221,0.40000,7.13989,-0.32885,lurigancho_random,-0.204902,47.232033,41.704,9100.331
222,0.42000,7.06237,-0.17763,lurigancho_random,-0.087270,24.440123,44.908,9145.241
223,0.38000,6.92804,-0.29133,lurigancho_random,-0.062358,22.800968,44.725,9189.967
224,0.44000,6.94314,-0.14221,lurigancho_random,0.021609,47.665932,44.700,9234.669
225,0.46000,6.99972,-0.00795,lurigancho_random,-0.034972,54.170452,44.829,9279.499
226,0.44000,7.20523,0.19097,lurigancho_random,0.064572,26.515820,44.657,9324.158
227,0.42000,7.38864,0.20661,lurigancho_random,-0.083746,47.156208,45.347,9369.507
